symbol,timestamp,funding_rate
SUI_USDT,2026-09-08T12:00:00Z,0.00015432
SUI_USDT,2026-09-09T12:00:00Z,0.00008729
SUI_USDT,2026-09-10T12:00:00Z,-0.00007687
SUI_USDT,2026-09-11T12:00:00Z,-0.00001682
ENA_USDT,2026-09-01T12:00:00Z,0.00027319
ENA_USDT,2026-09-02T12:00:00Z,0.00010044
ENA_USDT,2026-09-03T12:00:00Z,0.00022852
ENA_USDT,2026-09-04T12:00:00Z,0.00012776
ENA_USDT,2026-09-05T12:00:00Z,0.00004286
ENA_USDT,2026-09-06T12:00:00Z,0.00011753
ENA_USDT,2026-09-07T12:00:00Z,0.00009780
ENA_USDT,2026-09-08T12:00:00Z,0.00004077
ENA_USDT,2026-09-09T12:00:00Z,-0.00003102
ENA_USDT,2026-09-10T12:00:00Z,0.00018351
ENA_USDT,2026-09-11T12:00:00Z,0.00013942
